Run #1,Run #1,Run #2,Run #2,Run #3,Run #3
Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample),Time (s),Geiger Counts (counts/sample)
30.00,221,30.00,40,30.00,35
60.00,230,60.00,27,60.00,43
90.00,223,,,90.00,42
120.00,213,,,120.00,35
150.00,242,,,150.00,50
180.00,223,,,180.00,44
210.00,243,,,210.00,38
240.00,224,,,240.00,24
270.00,226,,,270.00,42
300.00,233,,,300.00,48
330.00,191,,,330.00,39
360.00,209,,,360.00,40
390.00,197,,,390.00,44
420.00,207,,,420.00,44
450.00,218,,,450.00,33
480.00,199,,,480.00,35
510.00,179,,,510.00,30
540.00,209,,,540.00,41
570.00,165,,,570.00,34
600.00,187,,,600.00,31
630.00,207,,,,
660.00,225,,,,
690.00,213,,,,
720.00,215,,,,
750.00,211,,,,
780.00,229,,,,
810.00,204,,,,
840.00,194,,,,
870.00,198,,,,
900.00,176,,,,
930.00,191,,,,
960.00,188,,,,
990.00,201,,,,
1020.00,174,,,,
1050.00,200,,,,
1080.00,174,,,,
1110.00,163,,,,
1140.00,194,,,,
1170.00,172,,,,
1200.00,174,,,,
1230.00,178,,,,
1260.00,173,,,,
1290.00,152,,,,
1320.00,173,,,,
1350.00,176,,,,
1380.00,174,,,,
1410.00,159,,,,
1440.00,173,,,,
1470.00,176,,,,
1500.00,174,,,,
1530.00,183,,,,
1560.00,166,,,,
1590.00,153,,,,
1620.00,143,,,,
1650.00,175,,,,
1680.00,161,,,,
1710.00,157,,,,
1740.00,154,,,,
1770.00,149,,,,
1800.00,157,,,,
1830.00,163,,,,
1860.00,160,,,,
1890.00,154,,,,
1920.00,166,,,,
1950.00,162,,,,
1980.00,175,,,,
2010.00,157,,,,
2040.00,135,,,,
2070.00,163,,,,
2100.00,151,,,,
2130.00,133,,,,
2160.00,138,,,,
2190.00,134,,,,
2220.00,152,,,,
2250.00,135,,,,
2280.00,168,,,,
2310.00,128,,,,
2340.00,148,,,,
2370.00,136,,,,
2400.00,139,,,,
2430.00,145,,,,
2460.00,133,,,,
2490.00,143,,,,
2520.00,135,,,,
2550.00,120,,,,
2580.00,144,,,,
2610.00,121,,,,
2640.00,134,,,,
2670.00,162,,,,
2700.00,110,,,,
2730.00,138,,,,
2760.00,132,,,,
2790.00,115,,,,
2820.00,116,,,,
2850.00,143,,,,
2880.00,133,,,,
2910.00,143,,,,
2940.00,127,,,,
2970.00,132,,,,
3000.00,105,,,,
3030.00,138,,,,
3060.00,131,,,,
3090.00,131,,,,
3120.00,121,,,,
3150.00,128,,,,
3180.00,126,,,,
3210.00,115,,,,
3240.00,117,,,,
3270.00,132,,,,
3300.00,114,,,,
3330.00,130,,,,
3360.00,131,,,,
3390.00,128,,,,
3420.00,129,,,,
3450.00,111,,,,
3480.00,114,,,,
3510.00,113,,,,
3540.00,119,,,,
3570.00,111,,,,
3600.00,107,,,,
3630.00,111,,,,
3660.00,106,,,,
3690.00,108,,,,
3720.00,110,,,,
3750.00,110,,,,
3780.00,110,,,,
3810.00,123,,,,
3840.00,108,,,,
3870.00,100,,,,
3900.00,116,,,,
3930.00,97,,,,
3960.00,111,,,,
3990.00,109,,,,
4020.00,120,,,,
4050.00,111,,,,
4080.00,110,,,,
4110.00,109,,,,
4140.00,116,,,,
4170.00,104,,,,
4200.00,107,,,,
4230.00,110,,,,
4260.00,112,,,,
4290.00,91,,,,
4320.00,91,,,,
4350.00,95,,,,
4380.00,92,,,,
4410.00,107,,,,
4440.00,113,,,,
4470.00,116,,,,
4500.00,94,,,,
4530.00,115,,,,
4560.00,129,,,,
4590.00,124,,,,
4620.00,119,,,,
4650.00,119,,,,
4680.00,122,,,,
4710.00,117,,,,
4740.00,116,,,,
4770.00,114,,,,
4800.00,110,,,,
4830.00,103,,,,
4860.00,128,,,,
4890.00,115,,,,
4920.00,109,,,,
4950.00,122,,,,
4980.00,126,,,,
5010.00,109,,,,
5040.00,123,,,,
5070.00,92,,,,
5100.00,103,,,,
5130.00,118,,,,
5160.00,85,,,,
5190.00,102,,,,
5220.00,115,,,,
5250.00,132,,,,
5280.00,102,,,,
5310.00,130,,,,
5340.00,121,,,,
5370.00,89,,,,
5400.00,105,,,,
